id,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
10114,10005.0,6.0,6726.0,1.17634375,5717.716441303828
10115,10114.0,7.0,994.5,0.16690625,5958.434750046807
10116,10114.0,7.0,707.5,0.271078125,2609.9487002132687
10117,10114.0,7.0,403.5,0.091109375,4428.742925741724
10118,10114.0,7.0,2335.0,0.35278125,6618.832491806183
10119,10114.0,7.0,2099.5,0.269078125,7802.566633761105
10120,10114.0,7.0,186.0,0.025390625,7325.538461538461
10121,10005.0,6.0,15714.5,2.89728125,5423.877989063023
10122,10121.0,7.0,2304.0,0.60696875,3795.9120630180714
10123,10122.0,8.0,334.0,0.09871875,3383.349161126939
10124,10122.0,8.0,642.5,0.163453125,3930.7905553962332
10125,10122.0,8.0,286.0,0.066390625,4307.837138150154
10126,10122.0,8.0,565.5,0.17121875,3302.7924803796313
10127,10122.0,8.0,413.5,0.092140625,4487.7056130235715
10128,10122.0,8.0,62.5,0.015046875,4153.686396677051
10136,10121.0,7.0,6679.5,1.07509375,6212.946545359417
10137,10136.0,8.0,1248.5,0.1886875,6616.760516727392
10138,10136.0,8.0,1879.0,0.23571875,7971.364178708736
10139,10136.0,8.0,948.5,0.117359375,8082.0130475302885
10140,10136.0,8.0,1829.5,0.35709375,5123.304454362475
10141,10136.0,8.0,657.5,0.14903125,4411.826378695743
10142,10136.0,8.0,116.5,0.027203125,4282.596209075244
10143,10121.0,7.0,1713.5,0.3053125,5612.282497441147
10144,10143.0,8.0,327.0,0.056125,5826.280623608018
10145,10143.0,8.0,570.5,0.07325,7788.39590443686
10146,10143.0,8.0,237.5,0.0371875,6386.554621848741
10147,10143.0,8.0,392.0,0.090703125,4321.7915590008615
10148,10143.0,8.0,154.5,0.0393125,3930.047694753577
10149,10143.0,8.0,32.0,0.008734375,3663.685152057245
10150,10121.0,7.0,5017.5,0.90990625,5514.304358278669
10151,10150.0,8.0,871.0,0.14425,6038.128249566726
10152,10150.0,8.0,1106.0,0.1919375,5762.2924128948225
10153,10150.0,8.0,723.5,0.107203125,6748.87042705145
10154,10150.0,8.0,1481.0,0.302015625,4903.719799265353
10155,10150.0,8.0,738.0,0.141203125,5226.51322341485
10156,10150.0,8.0,98.0,0.023296875,4206.572769953052
10157,10005.0,6.0,45433.5,6.726890625,6754.011999414663
10164,10157.0,7.0,2351.5,0.377265625,6233.008904535101
10165,10164.0,8.0,305.5,0.058296875,5240.4181184669
10166,10164.0,8.0,544.0,0.09903125,5493.2155254023355
10167,10164.0,8.0,440.0,0.0520625,8451.38055222089
10168,10164.0,8.0,707.0,0.10153125,6963.373345644814
10169,10164.0,8.0,311.0,0.055359375,5617.837990403612
10170,10164.0,8.0,44.0,0.010984375,4005.689900426743
10171,10157.0,7.0,2115.5,0.395453125,5349.559445256627
10172,10171.0,8.0,789.5,0.067546875,11688.179504973397
10173,10171.0,8.0,325.0,0.103828125,3130.1730624529728
10174,10171.0,8.0,99.0,0.030125,3286.3070539419086
10175,10171.0,8.0,456.0,0.11346875,4018.7276232442855
10176,10171.0,8.0,374.0,0.068171875,5486.133394453357
10177,10171.0,8.0,72.0,0.0123125,5847.715736040609
10178,10157.0,7.0,3598.0,0.612828125,5871.140460467607
10179,10178.0,8.0,723.0,0.09240625,7824.146094014204
10180,10178.0,8.0,977.0,0.150921875,6473.547986333988
10181,10178.0,8.0,515.5,0.089609375,5752.746294681779
10182,10178.0,8.0,856.0,0.15721875,5444.643212085073
10183,10178.0,8.0,484.5,0.10365625,4674.103105215556
10184,10178.0,8.0,42.0,0.019015625,2208.7099424815115
10185,10157.0,7.0,25427.5,3.535171875,7192.719590189657
10186,10185.0,8.0,4824.5,0.631125,7644.2859972271735
10187,10185.0,8.0,6891.5,1.000015625,6891.392321994968
10188,10185.0,8.0,5361.0,0.5121875,10466.870042708968
10189,10185.0,8.0,5766.5,0.77603125,7430.757459831675
10190,10185.0,8.0,2371.5,0.53453125,4436.597486115171
10191,10185.0,8.0,212.5,0.08128125,2614.3790849673205
10192,10157.0,7.0,1669.0,0.39575,4217.308907138346
10193,10192.0,8.0,221.5,0.094359375,2347.408511342938
10194,10192.0,8.0,467.0,0.10425,4479.616306954436
10195,10192.0,8.0,135.0,0.017875,7552.447552447553
10196,10192.0,8.0,680.0,0.121453125,5598.86787598096
