id,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
10113,10107.0,7.0,87.0,0.01928125,4512.155591572124
10114,10005.0,6.0,21099.0,1.17634375,17936.083734027576
10115,10114.0,7.0,3241.5,0.16690625,19421.08219434563
10116,10114.0,7.0,3740.0,0.271078125,13796.760620208657
10117,10114.0,7.0,2103.5,0.091109375,23087.635054021608
10118,10114.0,7.0,6929.0,0.35278125,19641.066524935777
10119,10114.0,7.0,4767.0,0.269078125,17716.044364438767
10120,10114.0,7.0,318.0,0.025390625,12524.307692307693
10121,10005.0,6.0,55077.5,2.89728125,19010.06331366691
10122,10121.0,7.0,10644.0,0.60696875,17536.32291613036
10123,10122.0,8.0,1863.5,0.09871875,18876.859765748653
10124,10122.0,8.0,2132.5,0.163453125,13046.553866743141
10125,10122.0,8.0,1427.5,0.066390625,21501.529771710993
10126,10122.0,8.0,3347.5,0.17121875,19551.01295856908
10127,10122.0,8.0,1544.5,0.092140625,16762.42157028998
10128,10122.0,8.0,328.5,0.015046875,21831.77570093458
10136,10121.0,7.0,22032.5,1.07509375,20493.5616079993
10137,10136.0,8.0,3055.5,0.1886875,16193.441536932758
10138,10136.0,8.0,3958.5,0.23571875,16793.31830836537
10139,10136.0,8.0,3407.5,0.117359375,29034.749034749035
10140,10136.0,8.0,8065.0,0.35709375,22585.10545199965
10141,10136.0,8.0,2892.5,0.14903125,19408.681065212833
10142,10136.0,8.0,653.5,0.027203125,24022.975301550832
10143,10121.0,7.0,7602.0,0.3053125,24899.07881269192
10144,10143.0,8.0,1048.0,0.056125,18672.60579064588
10145,10143.0,8.0,2117.0,0.07325,28901.023890784985
10146,10143.0,8.0,1413.5,0.0371875,38010.08403361346
10147,10143.0,8.0,2043.0,0.090703125,22524.03100775194
10148,10143.0,8.0,771.0,0.0393125,19612.082670906202
10149,10143.0,8.0,209.5,0.008734375,23985.688729874775
10150,10121.0,7.0,14799.0,0.90990625,16264.312944328056
10151,10150.0,8.0,2279.5,0.14425,15802.426343154248
10152,10150.0,8.0,2417.5,0.1919375,12595.245848257897
10153,10150.0,8.0,2266.0,0.107203125,21137.443521352576
10154,10150.0,8.0,5214.5,0.302015625,17265.662993429563
10155,10150.0,8.0,2227.0,0.141203125,15771.605621334511
10156,10150.0,8.0,394.5,0.023296875,16933.601609657948
10157,10005.0,6.0,150238.0,6.726890625,22333.944221071677
10164,10157.0,7.0,6978.5,0.377265625,18497.577138123837
10165,10164.0,8.0,950.0,0.058296875,16295.899222728493
10166,10164.0,8.0,1546.0,0.09903125,15611.233827705899
10167,10164.0,8.0,1073.5,0.0520625,20619.447779111644
10168,10164.0,8.0,1999.5,0.10153125,19693.444136657432
10169,10164.0,8.0,1123.0,0.055359375,20285.63364380469
10170,10164.0,8.0,286.5,0.010984375,26082.503556187767
10171,10157.0,7.0,8335.0,0.395453125,21077.087202181043
10172,10171.0,8.0,714.5,0.067546875,10577.839463335644
10173,10171.0,8.0,2549.5,0.103828125,24555.003762227243
10174,10171.0,8.0,702.5,0.030125,23319.502074688797
10175,10171.0,8.0,2205.5,0.11346875,19437.06967777472
10176,10171.0,8.0,1827.5,0.068171875,26807.24272289709
10177,10171.0,8.0,335.5,0.0123125,27248.730964467006
10178,10157.0,7.0,13229.0,0.612828125,21586.802988195104
10179,10178.0,8.0,1337.0,0.09240625,14468.718295569835
10180,10178.0,8.0,3942.5,0.150921875,26122.78703799565
10181,10178.0,8.0,2529.0,0.089609375,28222.493461203136
10182,10178.0,8.0,3012.5,0.15721875,19161.200556549393
10183,10178.0,8.0,2149.5,0.10365625,20736.810370817002
10184,10178.0,8.0,258.5,0.019015625,13594.083812654068
10185,10157.0,7.0,85712.5,3.535171875,24245.638693309644
10186,10185.0,8.0,8236.0,0.631125,13049.712814418697
10187,10185.0,8.0,29022.0,1.000015625,29021.54653833534
10188,10185.0,8.0,16544.0,0.5121875,32300.671140939594
10189,10185.0,8.0,14593.0,0.77603125,18804.65509604156
10190,10185.0,8.0,15343.5,0.53453125,28704.589301373868
10191,10185.0,8.0,1974.0,0.08128125,24286.043829296425
10192,10157.0,7.0,5093.0,0.39575,12869.235628553379
10193,10192.0,8.0,829.0,0.094359375,8785.560523265442
10194,10192.0,8.0,1578.5,0.10425,15141.48681055156
10195,10192.0,8.0,388.5,0.017875,21734.265734265733
10196,10192.0,8.0,1689.5,0.121453125,13910.71658304387
10197,10192.0,8.0,585.5,0.05359375,10924.781341107871
10198,10192.0,8.0,22.0,0.00421875,5214.814814814816
10199,10157.0,7.0,14979.0,0.522546875,28665.37092964148
10200,10199.0,8.0,1248.5,0.094328125,13235.713102534372
10201,10199.0,8.0,4432.0,0.1465625,30239.65884861407
10202,10199.0,8.0,2488.5,0.04925,50527.918781725886
